id,u,v
A,1103,904
B,819,542
C,965,532
D,1145,522
E,1324,542
F,1519,566
G,797,719
H,945,714
I,1123,712
J,1317,727
K,1499,756
L,782,892
N,933,897
M,1300,914
O,1487,938
P,773,1069
Q,914,1086
R,1089,1106
S,1285,1125
T,1465,1137
U,778,1227
V,916,1259
W,1076,1290
X,1261,1298
Y,1441,1310
