id,u,v
A,1575,897
B,1213,503
C,1392,493
D,1580,496
E,1769,518
F,1932,542
G,1198,685
H,1383,685
I,1582,690
J,1762,702
K,1920,727
L,1186,868
N,1371,882
M,1754,892
O,1912,916
P,1166,1064
Q,1356,1079
R,1560,1086
S,1740,1096
T,1886,1096
U,1159,1247
V,1344,1266
W,1533,1273
X,1711,1268
Y,1866,1264
