id,u,v
A,1475,445
B,1147,158
C,1315,126
D,1494,114
E,1667,114
F,1832,131
G,1137,294
H,1307,272
I,1475,272
J,1662,272
K,1822,282
L,1123,457
N,1293,447
M,1657,447
O,1827,469
P,1108,620
Q,1285,615
R,1473,615
S,1662,622
T,1813,637
U,1081,814
V,1266,802
W,1470,812
X,1672,821
Y,1825,833
